"id","company","car_model","year","fuel_type","kilo_driven","predicted_price"
"83","Hyundai","Hyundai Santro Xing XO",2010,"Petrol",58000,"80000.00"
"84","Mahindra","Mahindra Bolero 2011-2019 SLE",2016,"Diesel",62200,"325000.00"
"85","Audi","Audi A6 2.0 TDI Premium Plus",2017,"Diesel",34000,"1326153.85"
"86","Fiat","Fiat Avventura MULTIJET Emotion",2018,"Diesel",53000,"350000.00"
"87","Audi","Audi A8 4.2 TDI",2016,"Diesel",49000,"2800000.00"
"88","Datsun","Datsun RediGO 1.0 S",2020,"Petrol",15000,"223333.33"
"89","Volkswagen","Volkswagen Jetta 1.4 TSI Comfortline",2016,"Petrol",50000,"612333.00"
"90","Audi","Audi A4 2.0 TDI 177 Bhp Premium Plus",2016,"Diesel",53000,"1150000.00"
"91","Mercedes-Benz","Mercedes-Benz E-Class Exclusive E 200 BSIV",2021,"Petrol",9800,"4500000.00"
"92","BMW","BMW X1 sDrive 20d xLine",2020,"Diesel",13000,"2620000.00"
"93","Volvo","Volvo V40 D3 R Design",2021,"Diesel",21000,"1975000.00"
"94","Maruti","Maruti SX4 Zxi BSIII",2011,"Petrol",29173,"228333.33"
"95","BMW","BMW 7 Series 730Ld",2015,"Diesel",48000,"1575000.00"
"96","Mahindra","Mahindra Bolero Power Plus SLX",2020,"Diesel",120000,"674076.92"
"97","Hyundai","Hyundai Sonata CRDi M/T",2013,"Diesel",100000,"600000.00"
"98","Nissan","Nissan Micra Active XV Petrol",2020,"Petrol",30000,"399000.00"
"99","Mahindra","Mahindra Xylo D4",2021,"Diesel",87000,"550714.29"
"100","Hyundai","Hyundai Elite i20 Sportz Plus Dual Tone BSIV",2022,"Petrol",15000,"675000.00"
"101","Renault","Renault KWID RXT",2020,"Petrol",16000,"278333.33"
"102","Mahindra","Mahindra Xylo E4 BS III",2015,"Diesel",60000,"600000.00"
"103","Maruti","Maruti SX4 ZXI MT BSIV",2014,"Petrol",110000,"236666.67"
"104","Hyundai","Hyundai Creta 1.4 CRDi S",2019,"Diesel",60000,"780000.00"
"105","Maruti","Maruti Swift Dzire VDI",2017,"Diesel",79350,"511463.74"
"106","Hyundai","Hyundai Verna 1.6 VTVT AT S Option",2019,"Petrol",80000,"730000.00"
"107","Mahindra","Mahindra Scorpio LX BSIV",2017,"Diesel",90000,"452000.00"
"108","Maruti","Maruti SX4 Vxi BSIII",2010,"Petrol",90000,"110000.00"
"109","Maruti","Maruti Ertiga VDI",2017,"Diesel",120000,"543333.17"
"110","Chevrolet","Chevrolet Beat Diesel",2016,"Diesel",60000,"161250.00"
"111","Maruti","Maruti Zen LX",2007,"Petrol",50000,"72636.36"
"112","Maruti","Maruti Baleno Delta 1.2",2021,"Petrol",20000,"565666.67"
"113","Maruti","Maruti Swift Vdi BSIII",2010,"Diesel",110000,"226666.58"
"114","Tata","Tata Nano Lx BSIV",2015,"Petrol",50000,"74000.00"
"115","Toyota","Toyota Innova 2.5 GX (Diesel) 8 Seater",2015,"Diesel",100000,"500000.00"
"116","Maruti","Maruti Ertiga SHVS VDI",2019,"Diesel",70000,"738500.00"
"117","Hyundai","Hyundai Creta 1.6 CRDi SX",2019,"Diesel",70000,"694157.84"
"118","Honda","Honda Amaze S i-Vtech",2019,"Petrol",50000,"476666.67"
"119","Tata","Tata Indica Vista Aqua 1.4 TDI",2013,"Diesel",81000,"115714.29"
"120","Chevrolet","Chevrolet Tavera Neo 2 LS B4 7 Str BSIII",2015,"Diesel",120000,"400000.00"
"121","Chevrolet","Chevrolet Cruze LTZ",2018,"Diesel",3600,"502222.22"
"122","Ford","Ford Figo Aspire 1.2 Ti-VCT Titanium Plus",2018,"Petrol",14272,"540000.00"
"123","Ford","Ford EcoSport 1.5 Diesel Titanium Plus BSIV",2020,"Diesel",49213,"813888.89"
"124","Hyundai","Hyundai i10 Sportz 1.1L",2018,"Petrol",40000,"288999.60"
"125","Maruti","Maruti 800 Std",2001,"Petrol",40000,"85041.67"
"126","Chevrolet","Chevrolet Spark 1.0 LS",2015,"Petrol",80000,"133200.00"
"127","Hyundai","Hyundai EON Era Plus",2018,"Petrol",70000,"245542.86"
"128","Tata","Tata Indica Vista Aqua TDI BSIII",2014,"Diesel",70000,"118333.33"
"129","Hyundai","Hyundai Santro LP zipPlus",2006,"Petrol",57000,"66800.00"
"130","Tata","Tata Bolt Quadrajet XE",2019,"Diesel",120000,"280000.00"
"131","Maruti","Maruti 800 AC BSIII",2008,"Petrol",30000,"89000.00"
"132","Hyundai","Hyundai i20 Magna 1.2",2018,"Petrol",5000,"576000.00"
"133","Hyundai","Hyundai i20 1.2 Asta",2021,"Petrol",10000,"511500.00"
"134","Maruti","Maruti Ciaz VDi Plus",2018,"Diesel",100000,"592500.00"
"135","Hyundai","Hyundai i20 Asta 1.4 CRDi",2019,"Diesel",80000,"429090.91"
"136","Hyundai","Hyundai Santro LE",2005,"Petrol",70000,"65000.00"
"137","Maruti","Maruti Vitara Brezza VDi",2021,"Diesel",35000,"757250.00"
"138","Hyundai","Hyundai Santro Xing XL eRLX Euro III",2010,"Petrol",114000,"107856.86"
"139","Hyundai","Hyundai Getz 1.3 GLS",2011,"Petrol",53772,"156666.67"
"140","Mahindra","Mahindra Quanto C8",2015,"Diesel",140000,"290000.00"
"141","Chevrolet","Chevrolet Tavera Neo 3 LS 7 C BSIII",2018,"Diesel",120000,"400000.00"
"142","Maruti","Maruti Wagon R DUO LPG",2017,"LPG",90000,"210000.00"
"143","Maruti","Maruti Wagon R LXI",2023,"Petrol",120000,"143608.70"
"144","Chevrolet","Chevrolet Enjoy 1.3 TCDi LS 8",2018,"Diesel",175000,"383333.33"
"145","Honda","Honda City i VTEC SV",2017,"Petrol",36000,"620000.00"
"146","Jaguar","Jaguar XJ 5.0 L V8 Supercharged",2013,"Petrol",40000,"2550000.00"
"147","Honda","Honda Brio E MT",2016,"Petrol",70000,"280000.00"
"148","Maruti","Maruti Swift VVT ZXI",2020,"Petrol",60000,"550000.00"
"149","Tata","Tata Indigo CR4",2014,"Diesel",155500,"162916.67"
"150","Hyundai","Hyundai i10 Asta AT",2014,"Petrol",50000,"350000.00"
"151","Chevrolet","Chevrolet Beat LT",2019,"Petrol",40000,"180083.17"
"152","Maruti","Maruti Swift VDI BSIV",2018,"Diesel",100000,"448724.10"
"153","Renault","Renault Duster 110PS Diesel RxZ",2016,"Diesel",90000,"494999.78"
"154","Hyundai","Hyundai Santro Xing XG",2009,"Petrol",110000,"86666.67"
"155","Maruti","Maruti Swift Dzire ZXI Plus",2022,"Petrol",15000,"805000.00"
"156","Maruti","Maruti Alto K10 LXI CNG",2023,"CNG",40000,"282000.00"
"157","Maruti","Maruti 800 Std BSII",2007,"Petrol",60000,"86666.67"
"158","Tata","Tata Nano LX SE",2016,"Petrol",25000,"67333.33"
"159","Skoda","Skoda Rapid 1.6 MPI Ambition With Alloy Wheel",2018,"Petrol",23000,"640000.00"
"160","Maruti","Maruti Alto K10 VXI",2021,"Petrol",22155,"296999.95"
"161","Maruti","Maruti Ciaz 1.4 Delta",2021,"Petrol",70000,"650000.00"
"162","Maruti","Maruti Alto LX",2012,"Petrol",60000,"115171.37"
"163","Hyundai","Hyundai i20 Asta",2012,"Petrol",110000,"271250.00"
"164","Tata","Tata Nexon 1.2 Revotron XM",2021,"Petrol",30000,"500000.00"
"165","Maruti","Maruti Zen D",2006,"Diesel",100000,"75000.00"
"166","Volkswagen","Volkswagen Vento Celeste 1.5 TDI Highline AT",2019,"Diesel",70000,"650000.00"
"167","Maruti","Maruti Eeco 7 Seater Standard BSIV",2020,"Petrol",24000,"310833.33"
"168","Honda","Honda City 1.5 EXI",2008,"Petrol",120000,"135000.00"
"169","Maruti","Maruti SX4 Zxi with Leather BSIII",2010,"Petrol",78380,"200000.00"
"170","Ford","Ford Figo Diesel Titanium",2013,"Diesel",90000,"202500.00"
"171","Maruti","Maruti Swift Dzire VDi",2012,"Diesel",150000,"299545.45"
"172","Mahindra","Mahindra Xylo E4",2012,"Diesel",230000,"279999.75"
"173","Maruti","Maruti Esteem Vxi - BSIII",2009,"Petrol",70000,"100000.00"
"174","Hyundai","Hyundai i20 1.2 Sportz",2015,"Petrol",110000,"285833.33"
"175","Chevrolet","Chevrolet Beat Diesel LT",2015,"Diesel",60000,"192352.94"
"176","Chevrolet","Chevrolet Cruze LTZ AT",2018,"Diesel",50000,"619800.00"
"177","Nissan","Nissan Micra XL",2017,"Petrol",40000,"332571.43"
"178","BMW","BMW 5 Series 520d Luxury Line",2020,"Diesel",40000,"3850000.00"
"179","Hyundai","Hyundai EON Era Plus Option",2017,"Petrol",55000,"273750.00"
"180","Fiat","Fiat Linea T Jet Emotion",2021,"Petrol",1136,"440000.00"
"181","Renault","Renault Scala RxL",2016,"Petrol",55000,"365000.00"
"182","Ford","Ford Figo Petrol Titanium",2017,"Petrol",43000,"269000.00"
"183","Maruti","Maruti Ciaz ZDi SHVS",2019,"Diesel",60000,"692500.00"
"184","Skoda","Skoda Rapid 1.5 TDI Ambition BSIV",2021,"Diesel",2650,"940000.00"
"185","Mahindra","Mahindra XUV500 W6 2WD",2020,"Diesel",40000,"764285.71"
"186","Mahindra","Mahindra XUV300 W8 Option",2022,"Petrol",15000,"1150000.00"
"187","Maruti","Maruti Ertiga SHVS ZDI",2019,"Diesel",115962,"783000.00"
"188","Nissan","Nissan Terrano XE D",2018,"Diesel",65000,"590000.00"
"189","Maruti","Maruti S-Cross Facelift",2020,"Diesel",40000,"800000.00"
"190","Hyundai","Hyundai i20 Magna 1.4 CRDi (Diesel)",2015,"Diesel",58000,"370999.80"
"191","Mercedes-Benz","Mercedes-Benz New C-Class C 220 CDI BE Avantgare",2016,"Diesel",15000,"2000000.00"
"192","Volkswagen","Volkswagen Ameo 1.5 TDI Highline",2020,"Diesel",56000,"680000.00"
"193","Maruti","Maruti Omni LPG CARGO BSIII W IMMOBILISER",2012,"LPG",90000,"80000.00"
"194","Hyundai","Hyundai Verna i (Petrol)",2011,"Petrol",90000,"121500.00"
"195","Mahindra","Mahindra Renault Logan 1.5 DLS",2011,"Diesel",213000,"89999.00"
"196","Chevrolet","Chevrolet Optra Magnum 2.0 LS BSIII",2015,"Diesel",120000,"180000.00"
"197","Mahindra","Mahindra Scorpio S11 BSIV",2020,"Diesel",20000,"1396000.00"
"198","Hyundai","Hyundai i20 Active 1.2 SX",2020,"Petrol",10000,"626875.00"
"199","Maruti","Maruti SX4 Celebration Diesel",2015,"Diesel",80000,"267500.00"
"200","Hyundai","Hyundai Grand i10 Magna",2018,"Petrol",90000,"378750.00"
"201","Maruti","Maruti Alto LXi BSIII",2011,"Petrol",80000,"142942.79"
"202","Hyundai","Hyundai i10 Era",2014,"Petrol",139000,"214374.88"
"203","Toyota","Toyota Innova 2.5 V Diesel 7-seater",2014,"Diesel",160000,"740000.00"
"204","Honda","Honda Mobilio V i DTEC",2017,"Diesel",150000,"450000.00"
"205","Toyota","Toyota Innova 2.5 G (Diesel) 7 Seater BS IV",2013,"Diesel",163000,"550000.00"
"206","Tata","Tata Indica V2 2001-2011 DLS BSIII",2012,"Diesel",120000,"90000.00"
"207","Tata","Tata Indica Vista TDI LS",2014,"Diesel",120000,"186571.43"
"208","Chevrolet","Chevrolet Beat Diesel LS",2015,"Diesel",100000,"174437.50"
"209","Tata","Tata Zest Quadrajet 1.3 75PS XE",2018,"Diesel",140000,"350000.00"
"210","Skoda","Skoda Fabia 1.2L Diesel Ambiente",2013,"Diesel",87000,"220000.00"
"211","Toyota","Toyota Innova 2.5 VX (Diesel) 8 Seater",2017,"Diesel",70000,"1097142.86"
"212","Hyundai","Hyundai Grand i10 1.2 CRDi Asta",2021,"Diesel",25000,"570000.00"
"213","Datsun","Datsun GO Plus T Option Petrol",2021,"Petrol",10000,"434999.00"
"214","Maruti","Maruti Omni MPI STD BSIV",2021,"Petrol",10000,"178750.00"
"215","Maruti","Maruti Baleno Alpha 1.2",2020,"Petrol",52000,"622600.00"
"216","Ford","Ford Fiesta Classic 1.4 SXI Duratorq",2009,"Diesel",120000,"115000.00"
"217","Hyundai","Hyundai Elite i20 Asta Option BSIV",2022,"Petrol",11240,"800000.00"
"218","Hyundai","Hyundai Grand i10 CRDi Magna",2020,"Diesel",66000,"418000.00"
"219","Hyundai","Hyundai Santro Xing GL Plus",2016,"Petrol",49000,"207857.14"
"220","Tata","Tata Sumo GX TC 7 Str BSIII",2009,"Diesel",100000,"115999.00"
"221","Maruti","Maruti Vitara Brezza LDi Option",2020,"Diesel",72000,"685000.00"
"222","Honda","Honda Jazz S",2012,"Petrol",50000,"300000.00"
"223","Hyundai","Hyundai i20 1.4 Sportz",2020,"Diesel",44000,"689166.67"
"224","Maruti","Maruti Ertiga SHVS ZDI Plus",2020,"Diesel",60000,"946666.67"
"225","Tata","Tata Sumo SE Plus BSIII",2005,"Diesel",120000,"100000.00"
"226","Maruti","Maruti Ertiga VXI",2017,"Petrol",20000,"605357.14"
"227","Hyundai","Hyundai i20 1.4 Magna ABS",2012,"Diesel",60000,"180000.00"
"228","Hyundai","Hyundai Getz GL",2009,"Petrol",80000,"130000.00"
"229","Maruti","Maruti Wagon R LX BS IV",2014,"Petrol",155000,"255000.00"
"230","Hyundai","Hyundai i20 1.2 Spotz",2021,"Petrol",20000,"525000.00"
"231","Maruti","Maruti Alto 800 VXI",2020,"Petrol",20000,"232857.07"
"232","Hyundai","Hyundai i20 Asta (o)",2012,"Petrol",50000,"412500.00"
"233","Hyundai","Hyundai Verna 1.6 SX CRDi (O)",2016,"Diesel",29000,"491071.36"
"234","Mahindra","Mahindra Xylo D2 BSIV",2016,"Diesel",120000,"450000.00"
"235","Mahindra","Mahindra Bolero SLX 2WD BSIII",2014,"Diesel",70000,"410000.00"
"236","Maruti","Maruti Ertiga VXI ABS",2016,"Petrol",40000,"350000.00"
"237","Honda","Honda Brio 1.2 E MT",2020,"Petrol",20000,"350000.00"
"238","Toyota","Toyota Etios Liva G",2016,"Petrol",50000,"229999.00"
"239","Maruti","Maruti Alto 800 LXI",2016,"Petrol",50000,"230799.92"
"240","Maruti","Maruti Swift Dzire 1.2 Vxi BSIV",2015,"Petrol",49000,"381500.00"
"241","Mahindra","Mahindra Scorpio VLS AT 2.2 mHAWK",2014,"Diesel",70000,"476250.00"
"242","Mahindra","Mahindra Bolero SLX",2014,"Diesel",90000,"324099.90"
"243","Mahindra","Mahindra XUV500 W11 Option AWD",2023,"Diesel",25000,"1400000.00"
"244","Tata","Tata Tiago 1.2 Revotron XZ",2021,"Petrol",4000,"453833.33"
"245","Mahindra","Mahindra Marazzo M8 8Str",2021,"Diesel",10000,"1300000.00"
"246","Renault","Renault Duster 110PS Diesel RxL",2018,"Diesel",15000,"596666.67"
"247","Maruti","Maruti Wagon R VXI",2017,"Petrol",41000,"232222.22"
"248","Chevrolet","Chevrolet Spark 1.0 LT",2015,"Petrol",28000,"147857.14"
"249","Maruti","Maruti Baleno Alpha",2022,"Petrol",16000,"700000.00"
"250","Hyundai","Hyundai EON 1.0 Kappa Magna Plus",2018,"Petrol",70000,"163333.33"
"251","Ford","Ford Figo Aspire 1.2 Ti-VCT Trend",2020,"Petrol",10832,"497500.00"
"252","Ford","Ford Figo Aspire Facelift",2021,"Diesel",14681,"624000.00"
"253","Hyundai","Hyundai Verna 1.4 VTVT",2018,"Petrol",25000,"443333.33"
"254","Chevrolet","Chevrolet Sail 1.2 LT ABS",2017,"Petrol",30000,"350000.00"
"255","Honda","Honda City i-DTEC SV",2017,"Diesel",80000,"546666.67"
"256","Mahindra","Mahindra Bolero Power Plus Plus AC BSIV PS",2018,"Diesel",200000,"535000.00"
"257","Hyundai","Hyundai Grand i10 1.2 Kappa Sportz Option",2016,"Petrol",44000,"405000.00"
"258","Maruti","Maruti Baleno Sigma 1.2",2018,"Petrol",10000,"500000.00"
"259","Maruti","Maruti A-Star Vxi",2012,"Petrol",46730,"150000.00"
"260","Datsun","Datsun GO A",2018,"Petrol",40000,"250000.00"
"261","Skoda","Skoda Yeti Ambition 4WD",2014,"Diesel",80000,"350000.00"
"262","Maruti","Maruti Zen LXi BSII",2005,"Petrol",80000,"60000.00"
"263","Hyundai","Hyundai Verna CRDi 1.6 EX",2021,"Diesel",24000,"866333.33"
"264","Ford","Ford Aspire Titanium Diesel BSIV",2020,"Diesel",21170,"650000.00"
"265","BMW","BMW 3 Series 320d Sport",2016,"Diesel",167223,"1745000.00"
"266","BMW","BMW X1 sDrive 20d Exclusive",2014,"Diesel",60000,"1375000.00"
"267","Toyota","Toyota Innova Crysta 2.4 VX MT",2019,"Diesel",141440,"1800000.00"
"268","Chevrolet","Chevrolet Tavera Neo 3 10 Seats BSIV",2010,"Diesel",120000,"230000.00"
"269","Mitsubishi","Mitsubishi Outlander 2.4",2015,"Petrol",140000,"525000.00"
"270","Maruti","Maruti Baleno Alpha 1.3",2022,"Diesel",30000,"709500.00"
"271","Ford","Ford Figo Aspire 1.5 TDCi Titanium",2020,"Diesel",88635,"582500.00"
"272","Ford","Ford Endeavour Titanium 4X2",2014,"Diesel",149674,"600000.00"
"273","Mahindra","Mahindra Scorpio 2.6 Turbo 9 Str",2010,"Diesel",100000,"370000.00"
"274","Maruti","Maruti Baleno Vxi",2009,"Petrol",120000,"121500.00"
"275","Tata","Tata Indica DLX",2006,"Diesel",120000,"50000.00"
"276","Tata","Tata Indica LSI",2005,"Petrol",40000,"82037.00"
"277","Toyota","Toyota Etios Liva GD",2015,"Diesel",50000,"394166.33"
"278","Tata","Tata Nano STD",2016,"Petrol",25000,"55000.00"
"279","Hyundai","Hyundai Grand i10 Sportz",2019,"Petrol",25000,"376666.67"
"280","Mahindra","Mahindra Scorpio S7 140 BSIV",2021,"Diesel",20000,"1100000.00"
"281","Volkswagen","Volkswagen Polo Petrol Comfortline 1.2L",2016,"Petrol",100000,"391666.67"
"282","Hyundai","Hyundai Xcent 1.1 CRDi Base",2018,"Diesel",70000,"392000.00"
"283","Chevrolet","Chevrolet Beat Diesel PS",2015,"Diesel",68000,"144500.00"
"284","Maruti","Maruti Swift ZXi BSIV",2020,"Petrol",38000,"550000.00"
"285","Maruti","Maruti Ritz VDi",2016,"Diesel",80000,"230272.73"
"286","Tata","Tata Indigo CS Emax CNG GLX",2017,"CNG",72000,"185000.00"
"287","Maruti","Maruti Eeco 5 STR With AC Plus HTR CNG",2015,"CNG",75000,"281999.60"
"288","Maruti","Maruti Estilo LXI",2017,"Petrol",43000,"225000.00"
"289","Maruti","Maruti Swift VXI with ABS",2010,"Petrol",120000,"250000.00"
"290","Tata","Tata Zest Quadrajet 1.3 XM",2018,"Diesel",100000,"400000.00"
"291","Maruti","Maruti Alto K10 VXI AGS Optional",2021,"Petrol",25000,"300000.00"
"292","Mahindra","Mahindra Scorpio SLE BSIV",2017,"Diesel",70000,"504999.83"
"293","Hyundai","Hyundai Santro Xing GLS CNG",2013,"CNG",98000,"130000.00"
"294","Ford","Ford Figo Diesel Celebration Edition",2016,"Diesel",80000,"237000.00"
"295","Renault","Renault KWID RXT Optional",2020,"Petrol",40000,"270000.00"
"296","Renault","Renault KWID 1.0 RXT Optional",2021,"Petrol",35000,"330882.35"
"297","Skoda","Skoda Rapid 1.5 TDI AT Style BSIV",2020,"Diesel",82080,"860000.00"
"298","Chevrolet","Chevrolet Spark 1.0",2012,"Petrol",70000,"100923.00"
"299","Ford","Ford Fiesta 1.6 ZXi Duratec",2010,"Petrol",60000,"211500.00"
"300","Tata","Tata Manza Aura Quadrajet BS IV",2014,"Diesel",97000,"255499.50"
"301","Maruti","Maruti Swift VVT VXI",2020,"Petrol",30000,"400000.00"
"302","Hyundai","Hyundai i20 Sportz Petrol",2013,"Petrol",40000,"250000.00"
"303","Maruti","Maruti Zen Estilo VXI BSIV",2013,"Petrol",52047,"178750.00"
"304","Toyota","Toyota Innova 2.5 G (Diesel) 8 Seater BS IV",2014,"Diesel",200000,"424285.43"
"305","Tata","Tata Tiago 1.2 Revotron XZA",2022,"Petrol",15000,"350000.00"
"306","Maruti","Maruti Vitara Brezza ZDi",2021,"Diesel",50000,"845000.00"
"307","Maruti","Maruti Swift VXI BSIII",2014,"Petrol",70000,"220000.00"
"308","Maruti","Maruti Swift VXI BSIV",2022,"Petrol",10000,"550000.00"
"309","Hyundai","Hyundai i20 Active 1.2 S",2020,"Petrol",33100,"597500.00"
