,name,year,predicted_price,kilo_driven,fuel_type,company
156,Volkswagen Vento Celeste 1.5 TDI Highline AT,2019,650000.0,70000,Diesel,Volkswagen
157,Maruti Eeco 7 Seater Standard BSIV,2020,310833.33,24000,Petrol,Maruti
158,Honda City 1.5 EXI,2008,135000.0,120000,Petrol,Honda
159,Maruti SX4 Zxi with Leather BSIII,2010,200000.0,78380,Petrol,Maruti
160,Ford Figo Diesel Titanium,2013,202500.0,90000,Diesel,Ford
161,Maruti Swift Dzire VDi,2012,299545.45,150000,Diesel,Maruti
162,Mahindra Xylo E4,2012,279999.75,230000,Diesel,Mahindra
163,Maruti Esteem Vxi - BSIII,2009,100000.0,70000,Petrol,Maruti
164,Hyundai i20 1.2 Sportz,2015,285833.33,110000,Petrol,Hyundai
165,Chevrolet Beat Diesel LT,2015,192352.94,60000,Diesel,Chevrolet
166,Chevrolet Cruze LTZ AT,2018,619800.0,50000,Diesel,Chevrolet
167,Nissan Micra XL,2017,332571.43,40000,Petrol,Nissan
168,BMW 5 Series 520d Luxury Line,2020,3850000.0,40000,Diesel,BMW
169,Hyundai EON Era Plus Option,2017,273750.0,55000,Petrol,Hyundai
170,Fiat Linea T Jet Emotion,2021,440000.0,1136,Petrol,Fiat
171,Renault Scala RxL,2016,365000.0,55000,Petrol,Renault
172,Ford Figo Petrol Titanium,2017,269000.0,43000,Petrol,Ford
173,Maruti Ciaz ZDi SHVS,2019,692500.0,60000,Diesel,Maruti
174,Skoda Rapid 1.5 TDI Ambition BSIV,2021,940000.0,2650,Diesel,Skoda
175,Mahindra XUV500 W6 2WD,2020,764285.71,40000,Diesel,Mahindra
176,Mahindra XUV300 W8 Option,2022,1150000.0,15000,Petrol,Mahindra
177,Maruti Ertiga SHVS ZDI,2019,783000.0,115962,Diesel,Maruti
178,Nissan Terrano XE D,2018,590000.0,65000,Diesel,Nissan
179,Maruti S-Cross Facelift,2020,800000.0,40000,Diesel,Maruti
180,Hyundai i20 Magna 1.4 CRDi (Diesel),2015,370999.8,58000,Diesel,Hyundai
181,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2016,2000000.0,15000,Diesel,Mercedes-Benz
182,Volkswagen Ameo 1.5 TDI Highline,2020,680000.0,56000,Diesel,Volkswagen
183,Maruti Omni LPG CARGO BSIII W IMMOBILISER,2012,80000.0,90000,LPG,Maruti
184,Hyundai Verna i (Petrol),2011,121500.0,90000,Petrol,Hyundai
185,Mahindra Renault Logan 1.5 DLS,2011,89999.0,213000,Diesel,Mahindra
186,Chevrolet Optra Magnum 2.0 LS BSIII,2015,180000.0,120000,Diesel,Chevrolet
187,Mahindra Scorpio S11 BSIV,2020,1396000.0,20000,Diesel,Mahindra
188,Hyundai i20 Active 1.2 SX,2020,626875.0,10000,Petrol,Hyundai
189,Maruti SX4 Celebration Diesel,2015,267500.0,80000,Diesel,Maruti
190,Hyundai Grand i10 Magna,2018,378750.0,90000,Petrol,Hyundai
191,Maruti Alto LXi BSIII,2011,142942.79,80000,Petrol,Maruti
192,Hyundai i10 Era,2014,214374.88,139000,Petrol,Hyundai
193,Toyota Innova 2.5 V Diesel 7-seater,2014,740000.0,160000,Diesel,Toyota
194,Honda Mobilio V i DTEC,2017,450000.0,150000,Diesel,Honda
195,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,550000.0,163000,Diesel,Toyota
196,Tata Indica V2 2001-2011 DLS BSIII,2012,90000.0,120000,Diesel,Tata
197,Tata Indica Vista TDI LS,2014,186571.43,120000,Diesel,Tata
198,Chevrolet Beat Diesel LS,2015,174437.5,100000,Diesel,Chevrolet
199,Tata Zest Quadrajet 1.3 75PS XE,2018,350000.0,140000,Diesel,Tata
200,Skoda Fabia 1.2L Diesel Ambiente,2013,220000.0,87000,Diesel,Skoda
201,Toyota Innova 2.5 VX (Diesel) 8 Seater,2017,1097142.86,70000,Diesel,Toyota
202,Hyundai Grand i10 1.2 CRDi Asta,2021,570000.0,25000,Diesel,Hyundai
203,Datsun GO Plus T Option Petrol,2021,434999.0,10000,Petrol,Datsun
204,Maruti Omni MPI STD BSIV,2021,178750.0,10000,Petrol,Maruti
205,Maruti Baleno Alpha 1.2,2020,622600.0,52000,Petrol,Maruti
206,Ford Fiesta Classic 1.4 SXI Duratorq,2009,115000.0,120000,Diesel,Ford
207,Hyundai Elite i20 Asta Option BSIV,2022,800000.0,11240,Petrol,Hyundai
208,Hyundai Grand i10 CRDi Magna,2020,418000.0,66000,Diesel,Hyundai
209,Hyundai Santro Xing GL Plus,2016,207857.14,49000,Petrol,Hyundai
210,Tata Sumo GX TC 7 Str BSIII,2009,115999.0,100000,Diesel,Tata
211,Maruti Vitara Brezza LDi Option,2020,685000.0,72000,Diesel,Maruti
212,Honda Jazz S,2012,300000.0,50000,Petrol,Honda
213,Hyundai i20 1.4 Sportz,2020,689166.67,44000,Diesel,Hyundai
214,Maruti Ertiga SHVS ZDI Plus,2020,946666.67,60000,Diesel,Maruti
215,Tata Sumo SE Plus BSIII,2005,100000.0,120000,Diesel,Tata
216,Maruti Ertiga VXI,2017,605357.14,20000,Petrol,Maruti
217,Hyundai i20 1.4 Magna ABS,2012,180000.0,60000,Diesel,Hyundai
218,Hyundai Getz GL,2009,130000.0,80000,Petrol,Hyundai
219,Maruti Wagon R LX BS IV,2014,255000.0,155000,Petrol,Maruti
220,Hyundai i20 1.2 Spotz,2021,525000.0,20000,Petrol,Hyundai
221,Maruti Alto 800 VXI,2020,232857.07,20000,Petrol,Maruti
222,Hyundai i20 Asta (o),2012,412500.0,50000,Petrol,Hyundai
223,Hyundai Verna 1.6 SX CRDi (O),2016,491071.36,29000,Diesel,Hyundai
224,Mahindra Xylo D2 BSIV,2016,450000.0,120000,Diesel,Mahindra
225,Mahindra Bolero SLX 2WD BSIII,2014,410000.0,70000,Diesel,Mahindra
226,Maruti Ertiga VXI ABS,2016,350000.0,40000,Petrol,Maruti
227,Honda Brio 1.2 E MT,2020,350000.0,20000,Petrol,Honda
228,Toyota Etios Liva G,2016,229999.0,50000,Petrol,Toyota
229,Maruti Alto 800 LXI,2016,230799.92,50000,Petrol,Maruti
230,Maruti Swift Dzire 1.2 Vxi BSIV,2015,381500.0,49000,Petrol,Maruti
231,Mahindra Scorpio VLS AT 2.2 mHAWK,2014,476250.0,70000,Diesel,Mahindra
232,Mahindra Bolero SLX,2014,324099.9,90000,Diesel,Mahindra
233,Mahindra XUV500 W11 Option AWD,2023,1400000.0,25000,Diesel,Mahindra
234,Tata Tiago 1.2 Revotron XZ,2021,453833.33,4000,Petrol,Tata
235,Mahindra Marazzo M8 8Str,2021,1300000.0,10000,Diesel,Mahindra
236,Renault Duster 110PS Diesel RxL,2018,596666.67,15000,Diesel,Renault
237,Maruti Wagon R VXI,2017,232222.22,41000,Petrol,Maruti
238,Chevrolet Spark 1.0 LT,2015,147857.14,28000,Petrol,Chevrolet
239,Maruti Baleno Alpha,2022,700000.0,16000,Petrol,Maruti
240,Hyundai EON 1.0 Kappa Magna Plus,2018,163333.33,70000,Petrol,Hyundai
241,Ford Figo Aspire 1.2 Ti-VCT Trend,2020,497500.0,10832,Petrol,Ford
242,Ford Figo Aspire Facelift,2021,624000.0,14681,Diesel,Ford
243,Hyundai Verna 1.4 VTVT,2018,443333.33,25000,Petrol,Hyundai
244,Chevrolet Sail 1.2 LT ABS,2017,350000.0,30000,Petrol,Chevrolet
245,Honda City i-DTEC SV,2017,546666.67,80000,Diesel,Honda
246,Mahindra Bolero Power Plus Plus AC BSIV PS,2018,535000.0,200000,Diesel,Mahindra
247,Hyundai Grand i10 1.2 Kappa Sportz Option,2016,405000.0,44000,Petrol,Hyundai
248,Maruti Baleno Sigma 1.2,2018,500000.0,10000,Petrol,Maruti
249,Maruti A-Star Vxi,2012,150000.0,46730,Petrol,Maruti
250,Datsun GO A,2018,250000.0,40000,Petrol,Datsun
251,Skoda Yeti Ambition 4WD,2014,350000.0,80000,Diesel,Skoda
252,Maruti Zen LXi BSII,2005,60000.0,80000,Petrol,Maruti
253,Hyundai Verna CRDi 1.6 EX,2021,866333.33,24000,Diesel,Hyundai
254,Ford Aspire Titanium Diesel BSIV,2020,650000.0,21170,Diesel,Ford
255,BMW 3 Series 320d Sport,2016,1745000.0,167223,Diesel,BMW
256,BMW X1 sDrive 20d Exclusive,2014,1375000.0,60000,Diesel,BMW
257,Toyota Innova Crysta 2.4 VX MT,2019,1800000.0,141440,Diesel,Toyota
258,Chevrolet Tavera Neo 3 10 Seats BSIV,2010,230000.0,120000,Diesel,Chevrolet
259,Mitsubishi Outlander 2.4,2015,525000.0,140000,Petrol,Mitsubishi
260,Maruti Baleno Alpha 1.3,2022,709500.0,30000,Diesel,Maruti
261,Ford Figo Aspire 1.5 TDCi Titanium,2020,582500.0,88635,Diesel,Ford
262,Ford Endeavour Titanium 4X2,2014,600000.0,149674,Diesel,Ford
263,Mahindra Scorpio 2.6 Turbo 9 Str,2010,370000.0,100000,Diesel,Mahindra
264,Maruti Baleno Vxi,2009,121500.0,120000,Petrol,Maruti
265,Tata Indica DLX,2006,50000.0,120000,Diesel,Tata
266,Tata Indica LSI,2005,82037.0,40000,Petrol,Tata
267,Toyota Etios Liva GD,2015,394166.33,50000,Diesel,Toyota
268,Tata Nano STD,2016,55000.0,25000,Petrol,Tata
269,Hyundai Grand i10 Sportz,2019,376666.67,25000,Petrol,Hyundai
270,Mahindra Scorpio S7 140 BSIV,2021,1100000.0,20000,Diesel,Mahindra
271,Volkswagen Polo Petrol Comfortline 1.2L,2016,391666.67,100000,Petrol,Volkswagen
272,Hyundai Xcent 1.1 CRDi Base,2018,392000.0,70000,Diesel,Hyundai
273,Chevrolet Beat Diesel PS,2015,144500.0,68000,Diesel,Chevrolet
274,Maruti Swift ZXi BSIV,2020,550000.0,38000,Petrol,Maruti
275,Maruti Ritz VDi,2016,230272.73,80000,Diesel,Maruti
276,Tata Indigo CS Emax CNG GLX,2017,185000.0,72000,CNG,Tata
277,Maruti Eeco 5 STR With AC Plus HTR CNG,2015,281999.6,75000,CNG,Maruti
278,Maruti Estilo LXI,2017,225000.0,43000,Petrol,Maruti
279,Maruti Swift VXI with ABS,2010,250000.0,120000,Petrol,Maruti
280,Tata Zest Quadrajet 1.3 XM,2018,400000.0,100000,Diesel,Tata
281,Maruti Alto K10 VXI AGS Optional,2021,300000.0,25000,Petrol,Maruti
282,Mahindra Scorpio SLE BSIV,2017,504999.83,70000,Diesel,Mahindra
283,Hyundai Santro Xing GLS CNG,2013,130000.0,98000,CNG,Hyundai
284,Ford Figo Diesel Celebration Edition,2016,237000.0,80000,Diesel,Ford
285,Renault KWID RXT Optional,2020,270000.0,40000,Petrol,Renault
286,Renault KWID 1.0 RXT Optional,2021,330882.35,35000,Petrol,Renault
287,Skoda Rapid 1.5 TDI AT Style BSIV,2020,860000.0,82080,Diesel,Skoda
288,Chevrolet Spark 1.0,2012,100923.0,70000,Petrol,Chevrolet
289,Ford Fiesta 1.6 ZXi Duratec,2010,211500.0,60000,Petrol,Ford
290,Tata Manza Aura Quadrajet BS IV,2014,255499.5,97000,Diesel,Tata
291,Maruti Swift VVT VXI,2020,400000.0,30000,Petrol,Maruti
292,Hyundai i20 Sportz Petrol,2013,250000.0,40000,Petrol,Hyundai
293,Maruti Zen Estilo VXI BSIV,2013,178750.0,52047,Petrol,Maruti
294,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2014,424285.43,200000,Diesel,Toyota
295,Tata Tiago 1.2 Revotron XZA,2022,350000.0,15000,Petrol,Tata
296,Maruti Vitara Brezza ZDi,2021,845000.0,50000,Diesel,Maruti
297,Maruti Swift VXI BSIII,2014,220000.0,70000,Petrol,Maruti
298,Maruti Swift VXI BSIV,2022,550000.0,10000,Petrol,Maruti
299,Hyundai i20 Active 1.2 S,2020,597500.0,33100,Petrol,Hyundai
300,Hyundai Santro GLS I - Euro I,2002,60000.0,120000,Petrol,Hyundai
301,Tata Safari Storme VX,2019,620000.0,70000,Diesel,Tata
302,Mahindra Scorpio REV 116,2009,220000.0,220000,Petrol,Mahindra
303,Datsun GO Plus A,2018,315000.0,45000,Petrol,Datsun
304,Toyota Fortuner 4x4 MT,2017,1200000.0,110000,Diesel,Toyota
305,Ford Ecosport 1.5 DV5 MT Titanium,2017,571538.46,49000,Diesel,Ford
306,Mahindra XUV500 W11 AT BSIV,2021,1600000.0,35000,Diesel,Mahindra
307,Mahindra Supro VX 8 Str,2020,500000.0,160000,Diesel,Mahindra
308,Ford Endeavour 2.5L 4X2 MT,2011,462500.0,110000,Diesel,Ford
309,Mahindra KUV 100 D75 K2,2020,409999.0,40000,Diesel,Mahindra
310,Maruti Swift Glam,2012,250000.0,70000,Petrol,Maruti
311,Tata New Safari DICOR 2.2 EX 4x2,2013,287307.54,120000,Diesel,Tata
312,Honda Brio 1.2 VX MT,2021,475000.0,20000,Petrol,Honda
313,Chevrolet Sail Hatchback LS ABS,2016,200000.0,120000,Diesel,Chevrolet
314,Tata Tiago NRG Petrol,2022,562500.0,8000,Petrol,Tata
315,Maruti Vitara Brezza ZDi Plus,2021,891999.8,10000,Diesel,Maruti
316,Hyundai Santro Era,2022,350000.0,30000,Petrol,Hyundai
317,Honda City i-DTEC V,2020,1044999.0,25000,Diesel,Honda
318,Hyundai Verna 1.6 CRDI,2014,343000.0,127500,Diesel,Hyundai
319,Hyundai EON D Lite Plus,2018,215999.6,40903,Petrol,Hyundai
320,Ford Endeavour 4x4 XLT,2007,312500.0,22288,Diesel,Ford
321,Volkswagen Jetta 2.0 TDI Trendline,2014,270000.0,180000,Diesel,Volkswagen
322,Volkswagen Polo 1.5 TDI Highline,2018,516666.67,30000,Diesel,Volkswagen
323,Hyundai i20 Asta 1.2,2018,468750.0,64484,Petrol,Hyundai
324,Renault Duster 85PS Diesel RxE,2016,458333.33,75976,Diesel,Renault
325,Maruti Omni E MPI STD BS IV,2021,240428.43,120000,Petrol,Maruti
326,Honda Brio S Option AT,2015,285000.0,75000,Petrol,Honda
327,Honda Accord 2.4 MT,2012,400000.0,57035,Petrol,Honda
328,Ford Figo 1.2P Ambiente MT,2018,229999.0,45000,Petrol,Ford
329,Tata Nano Lx,2014,93571.43,15000,Petrol,Tata
330,Tata Indigo LS Dicor,2014,220000.0,80000,Diesel,Tata
331,Tata Indica Vista Terra 1.4 TDI,2012,106600.0,164000,Diesel,Tata
332,Maruti Zen VXI,2009,110000.0,77000,Petrol,Maruti
333,Chevrolet Beat LS,2015,176285.71,50000,Petrol,Chevrolet
334,Maruti Swift VDI,2015,388629.63,80000,Diesel,Maruti
335,Maruti Wagon R AMT VXI,2021,330000.0,24000,Petrol,Maruti
336,Mahindra TUV 300 T4 Plus,2021,705000.0,50000,Diesel,Mahindra
337,Maruti 800 AC BSII,2004,48250.0,100000,Petrol,Maruti
338,Hyundai Santro Magna BSIV,2022,462500.0,1250,Petrol,Hyundai
